date,中国国债收益率10年,中国国债收益率10年-2年
2018-01-01,3.4139,0.4656
2018-01-02,2.9146,0.2272
2018-01-03,4.5272,0.6237
2018-01-04,2.3957,1.1767
2018-01-05,3.5309,0.322
2018-01-08,3.1283,0.858
2018-01-09,3.0227,0.438
2018-01-10,3.7332,0.548
2018-01-11,2.291,0.5744
2018-01-12,2.7077,1.0652
2018-01-15,3.1429,0.8236
2018-01-16,4.0706,0.6674
2018-01-17,3.2445,0.2633
2018-01-18,3.6478,0.0932
2018-01-19,2.2683,0.3356
2018-01-22,2.5806,0.6389
2018-01-23,3.6848,0.5445
2018-01-24,2.8859,0.4651
2018-01-25,3.1685,0.328
2018-01-26,3.5654,0.3776
2018-01-29,2.0975,0.2915
2018-01-30,2.5994,0.0363
2018-01-31,3.1531,0.6114
2018-02-01,2.4268,0.2143
2018-02-02,2.8447,0.4759
2018-02-05,3.1788,0.5998
2018-02-06,2.8674,0.5311
2018-02-07,3.0656,0.2824
2018-02-08,3.2205,1.0916
2018-02-09,3.8651,0.5562
2018-02-12,3.9893,0.9244
2018-02-13,3.0027,0.1789
2018-02-14,2.7861,0.0851
2018-02-15,3.6447,0.308
2018-02-16,3.4553,0.2728
2018-02-19,3.3245,0.7481
2018-02-20,2.7459,0.1617
2018-02-21,3.5225,0.5479
2018-02-22,3.6361,0.2914
2018-02-23,2.3076,0.9961
2018-02-26,3.7087,0.3774
2018-02-27,3.1636,0.8429
2018-02-28,2.8283,0.5666
2018-03-01,2.4115,0.5513
2018-03-02,3.0291,0.477
2018-03-05,3.1694,0.7106
2018-03-06,3.0126,0.439
2018-03-07,2.5978,0.3433
2018-03-08,2.6023,0.205
2018-03-09,3.5527,0.5205
2018-03-12,3.2239,0.5473
2018-03-13,3.3423,0.2693
2018-03-14,3.5145,-0.1551
2018-03-15,3.5588,0.6222
2018-03-16,4.0676,0.4232
2018-03-19,3.1643,0.1595
2018-03-20,3.0703,0.2145
2018-03-21,2.7209,0.5367
2018-03-22,3.3247,0.9486
