date,黄金,白银,原油,铜
2021-01-01,410.49,6247.85,76.1,7146.78
2021-01-04,348.27,4827.63,94.6,8266.05
2021-01-05,480.17,6593.43,70.27,8978.81
2021-01-06,487.21,5978.66,101.7,8226.47
2021-01-07,434.52,5053.09,100.17,9484.65
2021-01-08,468.37,5483.8,102.86,5769.76
2021-01-11,535.52,4583.41,88.87,9023.07
2021-01-12,503.04,4501.0,64.38,9631.7
2021-01-13,485.38,6304.99,85.75,9280.83
2021-01-14,484.39,5126.43,85.2,7950.96
2021-01-15,406.82,5276.72,78.86,8413.97
2021-01-18,498.2,5029.77,80.58,8329.98
2021-01-19,367.58,5522.45,111.9,7898.86
2021-01-20,433.4,5192.2,87.4,8448.41
2021-01-21,428.14,5478.37,97.36,11672.79
2021-01-22,363.57,5481.19,90.2,9968.05
2021-01-25,444.48,6512.37,72.65,6740.64
2021-01-26,532.17,5067.54,87.04,11231.06
2021-01-27,432.99,5378.31,77.82,8125.91
2021-01-28,389.62,5565.52,95.08,10725.64
2021-01-29,445.45,4721.35,69.89,8736.32
2021-02-01,492.7,5864.05,64.42,8290.51
2021-02-02,459.66,5380.45,81.13,6366.94
2021-02-03,449.87,5013.25,84.53,8028.77
2021-02-04,379.54,4851.2,74.23,9450.5
2021-02-05,475.05,5400.45,74.86,11088.48
2021-02-08,474.29,5643.75,83.1,9333.32
2021-02-09,517.06,5803.96,80.45,10135.81
2021-02-10,524.45,6045.76,76.45,8257.48
2021-02-11,484.43,5223.56,93.92,10764.26
2021-02-12,367.88,6544.01,83.36,8183.34
2021-02-15,378.23,5572.07,94.4,13047.64
2021-02-16,395.1,6355.79,88.93,8719.14
2021-02-17,464.75,5233.66,69.76,8293.66
2021-02-18,410.64,6384.5,78.79,10219.74
2021-02-19,515.48,5546.14,95.48,9329.73
2021-02-22,462.19,4924.96,84.4,7030.3
2021-02-23,468.24,5177.53,106.35,8974.83
2021-02-24,487.53,5684.97,81.18,6458.02
2021-02-25,467.01,4196.51,77.66,10472.43
2021-02-26,379.47,5680.87,66.0,9302.74
2021-03-01,572.6,3935.41,52.67,9847.65
2021-03-02,523.15,5651.34,66.27,9252.97
2021-03-03,526.16,4843.78,104.99,9760.94
2021-03-04,412.63,4525.94,55.79,9375.65
2021-03-05,357.63,5047.39,103.06,8491.43
2021-03-08,374.67,6513.54,92.89,9223.24
2021-03-09,397.33,6846.8,48.52,10599.58
2021-03-10,494.11,5216.77,70.02,8482.34
2021-03-11,495.02,6645.2,97.76,10153.15
2021-03-12,522.92,5752.03,99.05,10550.67
2021-03-15,557.12,6885.02,91.99,6497.38
2021-03-16,476.05,5592.73,85.72,8052.99
2021-03-17,467.73,6096.41,96.72,8681.03
2021-03-18,431.85,4711.2,87.38,10420.74
2021-03-19,433.18,6518.62,52.92,9348.19
2021-03-22,392.11,6219.27,69.42,10521.67
2021-03-23,475.54,6478.59,56.29,10547.38
2021-03-24,465.91,6822.23,76.12,5691.57
2021-03-25,429.74,5297.56,104.62,8100.41
2021-03-26,409.47,5913.31,63.99,7663.15
2021-03-29,472.85,4075.96,52.53,8780.71
2021-03-30,515.31,4850.72,86.07,9294.65
2021-03-31,454.07,4579.38,43.62,9390.64
2021-04-01,464.19,6209.78,76.63,8965.17
2021-04-02,422.59,6029.58,82.61,8664.25
2021-04-05,437.57,5889.43,102.92,9777.8
2021-04-06,434.17,5715.61,85.99,11334.09
2021-04-07,435.75,7205.69,108.68,7424.72
2021-04-08,420.14,6281.29,72.07,9908.91
2021-04-09,469.82,5170.11,89.18,10751.99
2021-04-12,514.99,6976.5,66.42,8608.42
2021-04-13,402.64,6972.0,88.38,10053.92
2021-04-14,519.96,6296.14,94.81,8189.35
2021-04-15,429.85,3803.98,70.45,8731.93
2021-04-16,431.65,4863.4,80.86,9016.89
2021-04-19,342.18,5969.09,81.15,10181.32
2021-04-20,328.93,5332.04,104.98,10250.01
2021-04-21,486.78,4294.78,81.17,7694.59
2021-04-22,395.45,5698.97,76.37,8945.38
2021-04-23,490.27,5005.41,76.33,9310.42
2021-04-26,452.53,5815.52,40.94,9067.19
2021-04-27,462.52,5822.64,74.09,9140.29
2021-04-28,516.67,6788.39,87.46,8048.38
2021-04-29,446.38,4885.98,73.27,7828.01
2021-04-30,286.69,6467.62,75.78,9146.31
2021-05-03,363.07,4839.13,82.1,5925.11
2021-05-04,498.63,6445.37,93.91,8814.71
2021-05-05,549.83,6006.1,83.45,8381.12
2021-05-06,445.2,5941.7,82.62,10302.75
2021-05-07,414.89,5713.64,83.79,9766.36
2021-05-10,380.39,5047.69,65.45,7996.07
2021-05-11,477.3,5911.78,63.07,8620.35
2021-05-12,360.11,6030.12,63.14,8572.85
2021-05-13,387.71,6567.71,83.7,7629.48
2021-05-14,456.8,5888.05,63.44,6577.82
2021-05-17,455.1,5959.65,88.46,9991.42
2021-05-18,437.06,4702.68,66.38,10072.39
2021-05-19,503.17,4169.42,77.22,7043.93
2021-05-20,387.83,5693.78,94.72,6541.94
2021-05-21,390.46,7437.43,114.78,8709.82
2021-05-24,429.08,5431.01,85.43,10052.42
2021-05-25,453.26,4802.98,47.63,7426.87
2021-05-26,433.11,3415.86,74.62,9542.62
2021-05-27,549.63,5996.65,87.05,9547.04
2021-05-28,419.81,4724.88,90.02,10445.67
2021-05-31,481.77,5005.81,67.11,7735.32
2021-06-01,420.68,5732.43,48.77,8907.85
2021-06-02,466.04,6039.28,77.53,8783.75
2021-06-03,427.86,7039.98,68.03,8792.81
2021-06-04,430.35,6516.47,66.52,8513.94
2021-06-07,531.18,6083.21,52.79,11264.76
2021-06-08,433.15,5494.85,79.29,9248.29
2021-06-09,535.86,4542.45,49.38,8092.9
2021-06-10,413.02,5299.15,68.63,10954.48
2021-06-11,426.56,6280.35,73.86,11684.49
2021-06-14,505.47,3690.97,72.13,7162.96
2021-06-15,326.02,5438.39,77.21,8405.41
2021-06-16,366.31,6740.03,99.18,9906.38
2021-06-17,450.9,6243.53,101.46,9213.13
2021-06-18,473.85,5282.74,75.66,7663.25
2021-06-21,478.64,5227.15,65.22,9877.63
2021-06-22,433.7,6014.37,59.99,9120.05
2021-06-23,377.74,5308.23,61.02,10610.96
2021-06-24,491.72,5949.38,64.32,12559.97
2021-06-25,472.32,6889.47,88.42,10899.76
2021-06-28,392.93,5286.95,84.06,8929.0
2021-06-29,454.31,5030.67,62.04,8222.5
2021-06-30,541.06,6366.32,66.87,8825.56
2021-07-01,456.19,5788.84,95.58,6544.4
2021-07-02,389.85,4853.35,50.5,7115.24
2021-07-05,428.35,3891.24,83.99,7591.73
2021-07-06,431.28,6929.11,94.02,12747.08
2021-07-07,467.19,7048.31,69.75,8687.96
2021-07-08,495.69,5408.37,86.74,11348.27
2021-07-09,402.49,5933.51,85.08,11388.16
2021-07-12,416.84,5711.23,79.46,9303.7
2021-07-13,501.54,5919.62,60.71,9559.84
2021-07-14,487.37,6913.95,76.24,9890.73
2021-07-15,518.64,5939.53,58.77,7483.31
2021-07-16,375.7,5472.2,62.28,10738.01
2021-07-19,401.26,5839.3,96.67,7259.81
2021-07-20,500.88,5709.39,71.32,8749.33
2021-07-21,401.55,6159.22,53.33,9292.0
2021-07-22,466.3,5377.0,89.37,6588.72
2021-07-23,447.06,5060.09,95.59,9551.5
2021-07-26,411.87,7103.96,96.83,6729.38
2021-07-27,524.35,6190.33,88.25,6998.52
2021-07-28,449.08,6279.07,83.4,10672.2
2021-07-29,424.03,7370.34,42.01,11921.28
2021-07-30,441.7,5610.45,89.76,6398.44
2021-08-02,462.43,5429.93,66.69,7734.25
2021-08-03,369.7,5893.44,75.82,6449.01
2021-08-04,405.88,4776.65,90.16,9240.36
2021-08-05,384.68,4824.99,86.26,10189.27
2021-08-06,342.78,4737.65,81.39,9199.93
2021-08-09,499.53,6070.8,97.87,12761.94
2021-08-10,522.78,4297.27,104.84,7502.74
2021-08-11,510.32,5613.29,72.12,7030.78
