date,德债3m,德债2y,德债10y
2000-01-01,1.5012,3.8667,2.7402
2000-02-01,1.7987,1.863,3.3688
2000-03-01,1.2259,1.2337,4.5562
2000-04-01,0.6094,1.935,2.9947
2000-05-01,1.0453,1.3924,2.9244
2000-06-01,0.5084,1.2576,1.8266
2000-07-01,1.5601,1.9413,3.3833
2000-08-01,2.8402,0.9567,2.5539
2000-09-01,1.0078,2.6061,3.632
2000-10-01,0.8795,1.8961,2.7563
2000-11-01,1.9898,2.25,4.5409
2000-12-01,1.8569,1.8171,0.8171
2001-01-01,1.6054,1.2727,2.5034
2001-02-01,0.5695,1.052,3.6815
2001-03-01,1.4707,1.7627,2.4493
2001-04-01,2.1953,1.4512,2.0078
2001-05-01,0.1558,2.2339,2.5341
2001-06-01,1.0424,1.9956,1.4201
2001-07-01,-0.4012,0.6377,2.919
2001-08-01,0.2105,2.0671,5.2405
2001-09-01,-0.3417,0.6571,3.945
2001-10-01,1.2649,1.3835,1.691
2001-11-01,0.2326,1.7056,1.9267
2001-12-01,1.7713,-0.0753,2.3953
2002-01-01,1.6568,2.0915,3.8044
2002-02-01,1.3131,2.151,1.9785
2002-03-01,-1.0168,1.842,2.1098
2002-04-01,0.9613,1.5757,3.6847
2002-05-01,1.4515,1.6264,3.6647
2002-06-01,1.6133,1.0235,2.4262
2002-07-01,-0.0301,1.7303,1.6822
2002-08-01,1.0222,1.4474,1.2503
2002-09-01,0.5215,2.0917,2.101
2002-10-01,0.6912,0.7959,0.5695
2002-11-01,2.5609,2.2356,3.5498
2002-12-01,0.6925,2.1432,2.17
2003-01-01,1.4675,1.8584,3.2813
2003-02-01,2.3844,1.5608,4.6683
2003-03-01,0.9164,2.5523,3.973
2003-04-01,1.3883,0.3354,1.6489
2003-05-01,1.6105,2.4605,3.6692
2003-06-01,1.5638,2.243,3.9579
2003-07-01,0.2749,2.2834,2.0536
2003-08-01,1.5761,2.3833,1.8467
2003-09-01,2.8588,1.3464,2.6903
2003-10-01,-0.0471,1.7405,1.1986
2003-11-01,2.3594,2.6371,4.2707
2003-12-01,1.6194,2.4306,0.3946
2004-01-01,0.8585,2.2067,1.6932
2004-02-01,3.5004,0.4857,2.5304
2004-03-01,2.2623,2.5379,2.5729
2004-04-01,0.3007,3.1695,2.9661
2004-05-01,1.5745,3.0097,3.0714
2004-06-01,2.0767,2.2339,2.5864
2004-07-01,1.3112,0.4423,3.9369
2004-08-01,2.1829,2.9425,0.6606
2004-09-01,1.4335,1.8527,2.7998
2004-10-01,2.1672,-0.5325,2.0854
2004-11-01,2.9385,2.3772,2.9325
2004-12-01,0.8243,0.5078,3.0208
2005-01-01,1.7031,0.7036,1.8882
2005-02-01,1.0367,1.365,2.1591
2005-03-01,1.6273,3.2726,3.5926
2005-04-01,0.3128,1.6292,3.1491
2005-05-01,0.9207,2.271,2.1198
2005-06-01,1.3038,3.748,4.8399
2005-07-01,2.3988,3.594,5.1092
2005-08-01,2.6452,1.8966,1.3375
2005-09-01,0.1765,1.7585,3.1018
2005-10-01,0.7054,0.7391,5.309
2005-11-01,2.1469,1.3055,3.5839
2005-12-01,-0.4924,2.4254,3.0211
2006-01-01,1.0368,2.3957,2.5919
