date,美元指数,美元人民币,美元日元,美元欧元
2000-01-03,98.5877,5.9579,118.31,0.8586
2000-01-04,110.1068,5.7083,145.58,1.1802
2000-01-05,77.1367,6.4525,59.94,1.0419
2000-01-06,111.8661,5.512,101.15,1.0616
2000-01-07,94.5268,7.6141,124.49,1.1578
2000-01-10,87.0002,7.9184,145.42,0.9824
2000-01-11,86.9704,5.9658,38.74,1.1753
2000-01-12,84.1718,9.6703,72.13,1.0926
2000-01-13,92.7635,8.1611,133.88,1.0386
2000-01-14,103.3388,8.04,108.63,1.184
2000-01-17,100.8406,6.9897,104.03,1.3936
2000-01-18,101.3829,7.736,124.86,1.0509
2000-01-19,78.0519,10.0173,86.59,1.1325
2000-01-20,79.2904,6.7562,107.34,0.7692
2000-01-21,110.538,7.9597,104.66,1.3717
2000-01-24,104.6889,7.024,126.63,1.0231
2000-01-25,116.8321,4.8608,117.85,1.0496
2000-01-26,107.0982,4.547,94.02,1.2485
2000-01-27,84.7561,5.4613,97.07,1.0589
2000-01-28,107.8527,5.4884,102.33,1.1423
2000-01-31,101.2839,8.9646,117.53,1.0355
2000-02-01,97.1482,6.2683,86.92,1.0224
2000-02-02,86.8013,7.5736,136.92,1.1322
2000-02-03,95.0278,6.5798,139.83,1.1713
2000-02-04,93.53,7.2126,126.79,0.8014
2000-02-07,103.9254,7.197,79.08,1.2129
2000-02-08,96.245,3.609,105.19,1.2484
2000-02-09,110.8475,6.0295,94.9,1.0138
2000-02-10,87.2551,3.7884,122.39,1.3382
2000-02-11,99.711,6.8093,77.24,0.788
2000-02-14,99.9884,8.936,108.46,1.3202
2000-02-15,86.3566,6.3369,90.6,1.3918
2000-02-16,83.1873,6.9804,136.03,1.1876
2000-02-17,105.1358,7.7223,117.81,1.0823
2000-02-18,100.1744,5.7242,85.11,1.1072
2000-02-21,93.3749,8.2505,122.04,1.0366
2000-02-22,98.9437,5.7184,114.24,1.1975
2000-02-23,88.2466,9.0333,87.69,0.9812
2000-02-24,97.3835,7.4407,91.69,0.9679
2000-02-25,88.9487,5.1952,112.25,0.892
2000-02-28,96.8879,5.6027,98.86,1.138
2000-02-29,104.8609,8.784,136.23,0.9481
2000-03-01,91.6037,3.702,87.65,1.1588
2000-03-02,103.4977,5.2481,109.09,1.052
2000-03-03,84.658,6.6857,110.66,1.1442
2000-03-06,92.1151,7.8158,133.6,1.2202
2000-03-07,81.3526,5.5209,124.6,1.1836
2000-03-08,93.9941,4.9346,102.87,0.9766
2000-03-09,95.7865,9.4537,146.55,0.7719
2000-03-10,93.0274,5.8713,126.35,1.305
2000-03-13,92.3232,5.0241,94.33,1.0598
2000-03-14,108.4019,9.4322,127.41,0.9415
2000-03-15,109.2379,5.8416,105.65,1.2708
2000-03-16,82.8437,6.5463,93.74,0.8294
2000-03-17,106.7411,6.9078,128.46,1.0521
2000-03-20,77.7693,7.3615,109.95,1.1583
2000-03-21,87.6552,7.7102,76.45,1.2789
2000-03-22,93.2655,7.3305,93.17,1.2452
2000-03-23,96.1106,7.2739,123.5,1.1628
2000-03-24,84.5258,7.3771,123.96,1.0973
2000-03-27,87.7753,8.1947,158.38,1.2348
2000-03-28,95.7665,8.3048,88.99,1.1758
2000-03-29,88.0658,5.4835,117.72,1.2379
2000-03-30,88.588,6.7758,112.31,1.0777
2000-03-31,101.6626,9.0221,99.21,0.8463
2000-04-03,104.3172,6.6245,101.28,1.1848
2000-04-04,94.3994,8.0095,107.41,1.0945
2000-04-05,95.182,6.7646,144.97,1.1435
2000-04-06,94.804,5.687,106.42,1.1356
2000-04-07,90.4551,6.2011,149.53,1.1543
2000-04-10,89.8861,7.1602,120.58,1.2034
2000-04-11,84.6226,8.9982,84.3,1.0122
2000-04-12,101.4839,7.8005,99.12,1.1
2000-04-13,94.1584,5.9472,164.03,0.955
2000-04-14,93.6256,8.3558,97.86,1.0139
2000-04-17,97.0054,7.3242,163.31,1.0629
2000-04-18,100.3067,3.8282,99.15,0.9612
2000-04-19,109.2103,9.2473,98.83,1.0643
2000-04-20,92.2645,8.8975,109.72,1.3662
2000-04-21,90.9883,8.6182,104.02,0.7585
2000-04-24,97.0057,8.8211,116.79,0.8724
2000-04-25,86.545,5.2805,109.12,0.7422
2000-04-26,107.7243,7.1436,117.42,1.0336
2000-04-27,104.2624,9.4564,110.48,1.1682
2000-04-28,101.9392,7.1032,77.02,1.1563
2000-05-01,93.8039,5.9216,119.54,0.9813
2000-05-02,102.3958,5.346,72.29,0.8496
2000-05-03,105.502,6.4709,113.41,1.0858
2000-05-04,99.9991,5.4528,88.42,1.2148
2000-05-05,92.2002,5.606,92.19,1.3086
2000-05-08,78.1493,5.2842,129.06,1.0728
2000-05-09,104.4696,8.1189,128.02,1.2256
2000-05-10,91.4675,5.429,99.45,1.1109
2000-05-11,86.5677,8.345,106.5,1.1619
2000-05-12,103.906,6.227,88.32,1.0895
2000-05-15,98.3817,8.6674,119.87,0.8696
2000-05-16,80.8116,5.7947,91.89,1.2885
2000-05-17,94.0096,6.1745,139.46,0.9336
2000-05-18,92.3077,9.2301,97.04,1.1636
2000-05-19,104.9261,5.5549,121.06,1.1158
2000-05-22,76.0488,7.5161,65.41,0.973
2000-05-23,91.1444,9.9762,122.77,0.7764
2000-05-24,93.6175,6.216,85.71,1.0904
2000-05-25,109.189,8.0883,101.76,0.9547
2000-05-26,84.1661,5.983,93.88,1.1488
2000-05-29,65.5957,6.0016,129.6,1.2369
2000-05-30,81.1597,6.094,135.35,1.1947
2000-05-31,97.6307,7.8893,104.52,1.2486
2000-06-01,103.0959,7.363,74.37,1.2791
2000-06-02,112.3354,6.3612,128.99,1.3738
2000-06-05,99.0094,6.0366,122.44,0.9481
2000-06-06,86.9769,7.1768,117.28,1.2127
2000-06-07,103.8439,7.9796,122.16,0.9397
