date,北向净流入,北向买入,北向卖出,南向净流入,南向买入,南向卖出
2014-11-17,42.11,118.05,44.71,28.21,17.57,3.27
2014-11-18,-148.81,11.7,108.1,29.58,31.87,45.2
2014-11-19,-15.25,114.74,133.08,24.39,71.46,53.96
2014-11-20,72.49,107.58,40.6,16.98,27.06,82.69
2014-11-21,-62.2,24.59,132.67,12.5,64.09,45.92
2014-11-24,2.66,100.96,108.06,23.42,10.66,-4.69
2014-11-25,74.99,182.0,119.77,-13.79,102.05,71.71
2014-11-26,-58.41,83.99,152.55,24.49,8.04,47.68
2014-11-27,40.53,95.55,127.07,0.98,62.04,63.69
2014-11-28,94.94,88.39,58.99,8.7,53.39,43.92
2014-12-01,22.35,104.54,161.68,-17.86,96.38,29.8
2014-12-02,81.46,148.11,122.89,-52.5,38.48,46.34
2014-12-03,-6.91,120.73,52.99,21.55,39.86,47.79
2014-12-04,-21.05,115.82,77.66,39.6,92.21,21.9
2014-12-05,23.31,23.01,90.04,23.78,74.56,72.18
2014-12-08,-71.99,155.66,126.28,4.17,49.71,85.87
2014-12-09,55.49,129.1,134.02,-2.06,71.64,6.98
2014-12-10,2.23,73.97,62.05,-6.4,81.04,60.07
2014-12-11,-64.66,74.43,53.01,-23.59,29.46,57.23
2014-12-12,56.6,101.81,208.87,1.14,-6.97,105.62
2014-12-15,33.86,143.1,80.65,34.74,29.94,16.98
2014-12-16,-16.36,23.17,101.26,-11.07,33.8,7.6
2014-12-17,-31.39,108.36,176.99,24.53,65.9,32.87
2014-12-18,18.78,97.59,67.79,-5.58,24.39,10.48
2014-12-19,-78.88,177.73,43.57,15.25,41.92,-7.58
2014-12-22,-57.79,109.22,21.0,51.7,56.7,-22.47
2014-12-23,64.49,111.11,256.29,16.84,28.83,45.9
2014-12-24,18.13,55.97,159.76,-19.05,19.18,69.59
2014-12-25,63.4,11.78,113.21,-10.43,72.64,53.25
2014-12-26,12.18,94.76,149.01,-47.04,79.74,52.09
2014-12-29,87.23,125.7,138.46,-8.95,73.94,50.14
2014-12-30,-49.7,183.97,59.72,-18.69,62.95,109.8
2014-12-31,64.18,163.9,97.91,22.79,54.84,48.72
2015-01-01,52.17,136.74,118.98,-11.61,2.32,35.09
2015-01-02,63.54,89.94,98.69,9.67,54.3,-8.58
2015-01-05,86.31,109.86,113.08,-6.23,15.46,43.89
2015-01-06,-11.59,129.78,90.62,14.67,21.34,2.93
2015-01-07,8.36,98.59,97.8,-40.17,47.71,38.95
2015-01-08,108.11,154.31,165.14,28.61,79.94,58.91
2015-01-09,71.75,134.2,26.19,31.53,59.92,66.67
2015-01-12,57.53,60.26,99.98,18.31,8.49,90.05
2015-01-13,-63.41,83.48,181.67,-28.12,75.55,89.48
2015-01-14,104.31,184.92,138.28,20.96,23.84,6.71
2015-01-15,32.79,79.07,112.6,37.44,38.41,58.95
2015-01-16,53.95,72.18,130.39,-11.39,32.94,37.63
2015-01-19,-79.51,57.44,90.02,-26.25,19.4,90.49
2015-01-20,23.5,102.2,117.47,37.93,29.37,81.59
2015-01-21,-109.87,136.92,11.94,15.68,63.08,65.43
2015-01-22,46.54,56.11,169.61,-39.43,40.79,33.36
2015-01-23,7.85,131.94,102.2,10.25,65.53,91.56
2015-01-26,18.81,23.5,76.19,-27.55,64.25,61.14
2015-01-27,-42.79,87.68,91.54,-38.22,11.66,82.78
2015-01-28,22.42,109.9,30.97,-18.91,64.37,29.12
2015-01-29,-0.93,93.24,41.62,-12.05,20.78,66.52
2015-01-30,-79.85,190.0,52.85,10.4,98.65,31.62
2015-02-02,20.26,93.03,68.39,17.64,66.66,46.53
2015-02-03,-5.12,126.4,8.53,-19.21,-15.68,88.73
2015-02-04,-68.81,38.66,223.39,31.33,100.46,42.54
2015-02-05,56.32,154.8,86.87,-23.51,63.86,84.56
2015-02-06,-64.01,114.06,122.77,0.55,46.87,56.77
2015-02-09,-33.31,109.13,0.93,-13.26,54.9,96.81
2015-02-10,-91.11,96.44,82.68,4.77,27.42,65.08
2015-02-11,-81.95,129.39,155.61,-5.59,48.45,69.31
2015-02-12,26.82,83.12,137.45,-39.6,55.68,32.29
2015-02-13,125.97,91.27,142.78,20.69,70.72,67.77
2015-02-16,-25.86,141.14,82.47,88.89,39.78,61.54
2015-02-17,-8.25,67.11,53.96,60.94,59.82,95.43
2015-02-18,-10.37,86.95,131.96,-14.03,102.23,121.16
2015-02-19,58.21,74.2,-5.15,-35.17,36.89,90.4
2015-02-20,127.93,211.64,195.27,-20.26,1.03,23.39
2015-02-23,25.17,138.28,78.96,-0.88,24.94,39.85
2015-02-24,-1.86,120.8,130.66,32.66,63.89,105.69
2015-02-25,57.97,194.95,180.11,-42.24,48.08,8.97
2015-02-26,42.67,67.66,180.81,-50.07,37.76,84.03
2015-02-27,-5.6,74.71,108.69,-4.63,60.8,51.1
2015-03-02,11.25,138.38,34.33,47.08,40.07,79.96
2015-03-03,-38.11,148.81,54.89,-0.58,32.15,31.46
2015-03-04,11.91,115.62,122.36,-1.85,30.55,67.37
2015-03-05,-65.06,123.9,121.89,37.44,17.78,91.41
2015-03-06,80.5,163.82,50.79,-1.6,2.96,22.99
2015-03-09,80.16,132.07,181.65,22.95,37.3,-23.27
2015-03-10,-103.32,106.04,102.92,47.14,50.12,72.51
2015-03-11,-102.31,87.82,14.43,17.38,50.09,38.72
2015-03-12,-41.58,110.08,20.27,58.64,97.23,109.9
2015-03-13,-4.63,140.15,13.82,-6.16,61.87,61.26
2015-03-16,58.08,52.39,84.55,-40.06,-8.23,85.75
2015-03-17,-17.78,7.76,192.35,31.96,85.12,12.01
2015-03-18,55.64,82.51,-10.5,9.7,40.07,62.14
2015-03-19,-81.48,96.62,97.18,-0.04,73.84,71.38
2015-03-20,-14.48,73.04,31.18,-29.68,56.8,12.73
2015-03-23,-8.71,139.63,38.28,33.52,34.8,71.44
2015-03-24,-55.8,94.66,159.11,-23.77,12.34,72.79
2015-03-25,-50.25,113.64,91.67,-11.92,56.09,44.46
2015-03-26,32.39,73.24,148.46,0.75,22.22,67.76
2015-03-27,15.48,112.65,152.4,-29.55,78.44,17.09
2015-03-30,48.79,88.66,27.53,48.59,52.99,56.85
2015-03-31,-107.25,130.24,186.15,15.03,54.86,31.83
2015-04-01,80.5,73.01,131.86,-21.26,11.97,53.47
2015-04-02,95.77,143.25,124.91,44.08,39.65,79.87
2015-04-03,111.71,135.01,91.72,-7.4,32.77,65.72
2015-04-06,-2.98,81.83,135.5,45.6,15.05,23.59
2015-04-07,-35.21,171.32,100.83,43.32,2.86,83.75
2015-04-08,30.41,111.98,41.68,-34.98,106.31,44.63
2015-04-09,8.02,85.0,18.92,-7.35,12.52,38.62
2015-04-10,50.14,125.69,129.56,20.44,24.9,27.02
2015-04-13,-123.58,96.2,101.88,19.56,3.13,50.47
2015-04-14,-18.71,139.33,174.98,-11.24,52.9,33.54
