date,HIBOR_Overnight
2000-01-03,4.9732
2000-01-04,1.1003
2000-01-05,1.2741
2000-01-06,2.8435
2000-01-07,4.3106
2000-01-10,2.7061
2000-01-11,3.7315
2000-01-12,4.3386
2000-01-13,3.4935
2000-01-14,2.7677
2000-01-17,3.3969
2000-01-18,4.2677
2000-01-19,4.1825
2000-01-20,4.4194
2000-01-21,5.4209
2000-01-24,4.6191
2000-01-25,1.8727
2000-01-26,3.6131
2000-01-27,4.2035
2000-01-28,2.2402
2000-01-31,1.6183
2000-02-01,2.6899
2000-02-02,0.3968
2000-02-03,6.2325
2000-02-04,1.6491
2000-02-07,3.3853
2000-02-08,5.8112
2000-02-09,4.8722
2000-02-10,4.8895
2000-02-11,-0.793
2000-02-14,4.8723
2000-02-15,3.7914
2000-02-16,5.9794
2000-02-17,1.3018
2000-02-18,3.6995
2000-02-21,5.0665
2000-02-22,4.4289
2000-02-23,2.6785
2000-02-24,2.5796
2000-02-25,1.6842
2000-02-28,3.2836
2000-02-29,3.815
2000-03-01,2.3531
2000-03-02,4.5894
2000-03-03,3.591
2000-03-06,4.6883
2000-03-07,6.7236
2000-03-08,4.2937
2000-03-09,3.3472
2000-03-10,-0.2979
2000-03-13,3.6131
2000-03-14,3.1431
2000-03-15,3.5206
2000-03-16,4.7906
2000-03-17,4.2238
2000-03-20,1.9298
2000-03-21,3.3479
2000-03-22,2.125
2000-03-23,5.7662
2000-03-24,4.1677
2000-03-27,2.9516
2000-03-28,2.4999
2000-03-29,2.8447
2000-03-30,4.9679
2000-03-31,2.4804
2000-04-03,0.9887
2000-04-04,5.0884
2000-04-05,2.2607
2000-04-06,0.7474
2000-04-07,3.9553
2000-04-10,0.5938
2000-04-11,3.8572
2000-04-12,2.539
2000-04-13,3.654
2000-04-14,2.1318
2000-04-17,0.4256
2000-04-18,4.6541
2000-04-19,4.9344
2000-04-20,2.7538
2000-04-21,4.852
2000-04-24,0.5231
2000-04-25,3.9179
2000-04-26,4.46
2000-04-27,1.466
2000-04-28,2.8464
2000-05-01,4.0701
2000-05-02,4.344
2000-05-03,3.2568
2000-05-04,3.2266
2000-05-05,2.6716
2000-05-08,2.4839
2000-05-09,4.4733
2000-05-10,2.1718
2000-05-11,2.5003
2000-05-12,2.278
2000-05-15,2.8474
2000-05-16,3.2222
2000-05-17,1.0339
2000-05-18,3.2727
2000-05-19,3.3339
2000-05-22,2.5031
2000-05-23,3.627
2000-05-24,0.5696
2000-05-25,2.7509
2000-05-26,4.1883
2000-05-29,3.8551
2000-05-30,3.3953
2000-05-31,4.2585
