date,HKHSI,SH000001,SPX,IXIC,DJI
2021-01-01,19789.63,2840.47,4821.29,12620.19,35243.89
2021-01-04,23743.63,3073.57,4079.97,14566.2,34087.64
2021-01-05,18174.83,3364.51,3971.73,15167.64,40209.75
2021-01-06,18730.42,3047.06,4874.1,15274.33,30958.44
2021-01-07,25943.42,2467.83,3555.66,16117.33,36274.99
2021-01-08,22828.11,3199.54,4485.39,13098.97,31401.13
2021-01-11,19094.22,2806.86,3733.88,14300.47,38667.6
2021-01-12,22407.78,3605.5,4258.15,11337.48,37001.53
2021-01-13,19743.33,3220.13,4540.37,10933.27,35857.13
2021-01-14,20229.7,2801.59,4902.79,12876.38,39954.84
2021-01-15,21211.71,3864.16,4538.1,14899.12,35330.71
2021-01-18,16153.86,3570.16,4647.23,14589.16,31263.8
2021-01-19,15861.52,3800.35,4259.26,13764.14,43902.87
2021-01-20,19848.36,2995.24,4199.08,14684.31,28195.64
2021-01-21,27912.02,2857.21,5009.78,17537.15,35381.89
2021-01-22,23912.08,3674.49,4568.34,14279.06,33192.31
2021-01-25,18502.82,3418.77,5428.34,13627.46,30880.56
2021-01-26,12464.63,3551.87,4401.5,16876.33,37270.77
2021-01-27,26140.92,2892.14,4456.52,14651.08,34206.34
2021-01-28,18805.64,2648.08,5453.79,12688.67,29273.24
2021-01-29,20646.71,3108.11,4963.36,14442.19,36139.51
2021-02-01,19416.31,2688.87,4517.67,15393.51,38046.86
2021-02-02,20895.76,3537.63,3968.82,16469.0,30344.11
2021-02-03,18278.83,3289.0,4865.62,15682.03,26973.21
2021-02-04,24022.56,4169.61,4456.38,14533.46,36637.92
2021-02-05,16827.38,3222.63,3329.58,11994.48,34942.61
2021-02-08,18859.12,3263.7,4232.34,15914.91,36290.53
2021-02-09,22064.92,3186.35,4070.7,13228.98,42778.94
2021-02-10,23017.65,3587.47,3886.34,12494.32,35365.53
2021-02-11,25458.52,3042.79,4111.42,12051.84,28347.42
2021-02-12,24978.93,3181.99,4465.73,12415.31,37051.0
2021-02-15,21302.81,3228.36,3832.15,14665.86,34378.58
2021-02-16,16189.85,3023.56,4289.6,14106.46,35067.01
2021-02-17,19600.56,3131.67,5030.99,14738.17,38251.41
2021-02-18,19427.74,3364.18,4110.15,17443.05,33863.77
2021-02-19,20628.34,2956.63,4501.53,14430.02,36103.07
2021-02-22,20095.95,3412.08,3484.4,11976.78,34095.91
2021-02-23,20126.34,3253.68,4403.05,15173.88,37006.12
2021-02-24,20033.64,3242.75,4640.02,13436.53,37137.5
2021-02-25,23921.59,3397.06,5131.09,14504.43,30984.8
2021-02-26,20032.51,2347.83,4783.58,13038.21,31840.04
2021-03-01,24725.85,3264.74,4595.18,16594.97,37118.39
2021-03-02,21390.95,2256.41,4883.78,17071.85,38355.65
2021-03-03,20723.74,3226.26,5490.29,14668.98,31445.55
2021-03-04,21150.92,3499.04,4301.88,12443.89,34397.42
2021-03-05,21243.23,2841.53,2944.1,15781.7,38308.24
2021-03-08,16967.38,3458.39,4699.7,13963.33,43231.64
2021-03-09,21460.92,3089.12,4090.43,13177.79,27839.56
2021-03-10,18072.6,3060.38,4807.97,15040.67,29835.94
2021-03-11,19349.52,3916.74,5256.43,14262.09,31739.27
2021-03-12,20444.68,3289.68,4788.71,13350.25,37124.86
2021-03-15,23356.86,3154.76,4341.58,15310.91,30142.13
2021-03-16,18695.52,3104.25,4626.54,11757.64,36417.57
2021-03-17,18605.08,2816.16,4470.56,13425.04,36834.82
2021-03-18,16054.54,4201.55,3659.99,13742.98,34365.33
2021-03-19,22218.19,3635.58,4548.04,10661.01,37881.65
2021-03-22,20115.02,3371.87,4174.73,15701.73,34958.45
2021-03-23,20461.57,3192.55,3817.93,15246.39,35961.97
2021-03-24,17224.5,3414.7,5017.24,14906.63,37932.02
2021-03-25,22762.7,3126.65,4619.24,12804.47,44112.92
2021-03-26,22121.32,3465.61,4766.61,12845.91,32598.69
2021-03-29,20428.92,3267.25,5674.33,14924.06,36806.33
2021-03-30,16387.91,2297.48,3384.14,11550.12,30472.93
2021-03-31,19824.16,3093.77,4384.7,17384.22,34394.33
2021-04-01,18244.35,3842.84,4928.15,13608.67,35185.75
2021-04-02,15324.15,2784.28,4159.79,13619.28,30357.95
2021-04-05,16023.4,3406.82,4310.44,14788.39,28920.9
2021-04-06,21891.46,3361.4,4093.65,15698.28,36314.01
2021-04-07,17665.42,3300.35,5580.46,10663.77,34154.18
2021-04-08,15301.82,2532.06,4270.6,15298.53,34187.08
2021-04-09,19661.75,3314.37,3640.52,10629.49,44701.65
2021-04-12,21944.38,3059.53,4800.24,10188.89,43541.85
2021-04-13,23166.89,3331.38,5109.12,14192.4,39245.11
2021-04-14,16054.5,3835.69,4165.59,15322.15,38862.57
2021-04-15,18752.89,3041.03,4074.76,12745.02,38865.83
2021-04-16,21959.74,3083.84,3989.11,16750.24,34491.69
2021-04-19,19385.35,2834.47,3432.9,11868.54,34536.34
2021-04-20,20761.65,2878.38,4265.42,17930.76,34995.05
2021-04-21,15826.84,3330.49,3408.83,14422.73,41115.08
2021-04-22,16050.14,3018.55,4714.55,12504.3,30061.76
2021-04-23,26240.05,2924.39,4462.09,14883.23,34177.69
2021-04-26,21388.11,3432.48,4999.66,9880.67,33742.63
2021-04-27,20082.28,3419.9,4401.0,13783.21,25394.87
2021-04-28,20022.43,3145.47,4740.22,15153.6,40567.92
2021-04-29,18149.44,3559.36,4755.88,17521.65,33608.14
2021-04-30,18148.89,3154.89,5129.48,15915.4,39527.68
2021-05-03,14647.86,3101.74,4341.28,10651.9,36401.28
2021-05-04,19000.62,3093.83,4828.49,15019.03,35140.99
2021-05-05,19738.5,4698.58,4874.78,15113.1,35924.19
2021-05-06,20885.31,3863.02,4732.21,14526.36,30082.66
2021-05-07,19452.95,3332.17,3859.14,16218.26,37143.48
2021-05-10,20347.41,2585.05,5115.83,17191.19,40437.03
2021-05-11,21732.62,3351.77,5246.57,13235.92,30412.33
2021-05-12,22417.02,3391.47,4859.34,14966.0,36008.4
2021-05-13,25143.85,2781.23,4805.58,11545.95,33213.06
2021-05-14,22045.9,3028.07,4803.86,13291.48,36243.34
2021-05-17,18268.59,2811.23,3905.81,16126.83,42151.48
2021-05-18,19232.54,2913.44,4974.21,12546.67,26657.05
2021-05-19,16474.36,2572.57,5067.21,17444.83,27919.36
2021-05-20,18222.58,2667.78,4670.74,15328.42,33789.32
2021-05-21,18844.62,2977.16,3686.21,12793.86,30478.07
2021-05-24,23926.8,3455.98,4200.67,13673.78,32027.88
2021-05-25,19630.17,2866.12,4251.34,14386.78,35266.14
2021-05-26,21393.52,3080.8,4555.55,10956.21,37613.67
2021-05-27,17296.46,3335.12,4104.42,15148.12,37680.83
2021-05-28,19500.49,3086.23,4849.54,14446.51,32652.33
2021-05-31,15472.19,3104.66,4011.76,15944.75,34931.99
2021-06-01,21321.54,2308.1,4241.15,13537.72,34081.32
2021-06-02,24699.22,3322.44,3962.3,14045.01,39382.03
2021-06-03,22082.9,2899.51,4024.26,13400.92,33119.57
