date,日债10y
2000-01-01,0.8205
2000-02-01,1.6158
2000-03-01,1.5348
2000-04-01,0.4938
2000-05-01,0.6212
2000-06-01,0.4836
2000-07-01,1.1418
2000-08-01,0.7664
2000-09-01,1.2481
2000-10-01,-0.3084
2000-11-01,1.7399
2000-12-01,0.7421
2001-01-01,1.2082
2001-02-01,0.7181
2001-03-01,0.5725
2001-04-01,1.0779
2001-05-01,1.2947
2001-06-01,0.6785
2001-07-01,0.7083
2001-08-01,1.2114
2001-09-01,0.2778
2001-10-01,-0.1086
2001-11-01,1.037
2001-12-01,0.3977
2002-01-01,-0.3522
2002-02-01,0.3116
2002-03-01,0.5194
2002-04-01,0.0841
2002-05-01,-0.0955
2002-06-01,0.822
2002-07-01,1.3383
2002-08-01,0.6601
2002-09-01,0.3538
2002-10-01,1.031
2002-11-01,1.2303
2002-12-01,0.62
2003-01-01,1.1268
2003-02-01,1.4257
2003-03-01,0.6758
2003-04-01,0.3119
2003-05-01,1.0086
2003-06-01,0.9485
2003-07-01,1.4593
2003-08-01,0.0293
2003-09-01,0.403
2003-10-01,0.2971
2003-11-01,-0.2404
2003-12-01,0.8759
2004-01-01,1.1167
2004-02-01,0.3567
2004-03-01,1.6314
2004-04-01,1.2932
2004-05-01,1.1764
2004-06-01,1.041
2004-07-01,1.3734
2004-08-01,0.0008
2004-09-01,1.1684
2004-10-01,1.1617
2004-11-01,-0.2606
2004-12-01,1.0082
2005-01-01,0.6497
2005-02-01,1.2689
2005-03-01,0.5366
2005-04-01,0.7891
2005-05-01,1.0057
2005-06-01,0.2742
2005-07-01,1.1592
2005-08-01,0.737
2005-09-01,1.0955
2005-10-01,0.4869
2005-11-01,1.4517
2005-12-01,1.1631
2006-01-01,0.6932
2006-02-01,1.1792
2006-03-01,1.5559
2006-04-01,1.8747
2006-05-01,-0.1441
2006-06-01,1.3299
2006-07-01,1.079
2006-08-01,0.7437
2006-09-01,0.196
2006-10-01,1.5543
2006-11-01,0.043
2006-12-01,1.1402
2007-01-01,1.5811
2007-02-01,-0.1598
2007-03-01,0.6185
2007-04-01,0.0145
2007-05-01,0.9464
2007-06-01,1.7086
2007-07-01,2.0141
2007-08-01,-0.2669
2007-09-01,0.455
2007-10-01,1.2221
2007-11-01,1.7476
2007-12-01,1.0527
2008-01-01,0.3523
2008-02-01,0.9783
2008-03-01,0.79
2008-04-01,0.6778
2008-05-01,0.3593
2008-06-01,1.0324
2008-07-01,0.9847
2008-08-01,0.7442
2008-09-01,0.667
2008-10-01,0.0291
2008-11-01,0.5083
2008-12-01,1.5239
2009-01-01,0.6857
2009-02-01,-0.0638
2009-03-01,1.6007
2009-04-01,1.1182
2009-05-01,2.0649
2009-06-01,0.8375
2009-07-01,0.5232
2009-08-01,-0.0686
2009-09-01,1.5943
2009-10-01,2.3417
2009-11-01,0.3074
2009-12-01,0.4117
2010-01-01,1.1577
2010-02-01,0.3018
2010-03-01,0.6377
2010-04-01,0.5901
2010-05-01,0.9152
2010-06-01,1.4569
2010-07-01,0.8132
2010-08-01,1.3513
2010-09-01,0.5481
2010-10-01,0.9967
2010-11-01,-0.4829
2010-12-01,-0.07
2011-01-01,1.2775
2011-02-01,0.4459
2011-03-01,1.1479
2011-04-01,1.1254
2011-05-01,1.5934
2011-06-01,1.2871
2011-07-01,1.4102
2011-08-01,0.733
2011-09-01,0.381
2011-10-01,0.3611
2011-11-01,0.5072
2011-12-01,0.1221
2012-01-01,0.4715
2012-02-01,0.7445
2012-03-01,0.951
2012-04-01,0.5967
2012-05-01,-0.3542
2012-06-01,0.7566
2012-07-01,0.9352
2012-08-01,1.4507
2012-09-01,1.1467
2012-10-01,0.4139
2012-11-01,0.3657
2012-12-01,2.0064
2013-01-01,1.254
2013-02-01,1.8989
2013-03-01,2.0777
2013-04-01,0.3091
2013-05-01,1.0312
2013-06-01,1.0749
2013-07-01,1.1358
2013-08-01,1.1251
2013-09-01,0.9212
2013-10-01,0.9045
2013-11-01,-0.1015
2013-12-01,0.7008
2014-01-01,0.3514
2014-02-01,0.8757
2014-03-01,0.5195
2014-04-01,1.1711
2014-05-01,1.2914
2014-06-01,0.9852
2014-07-01,0.9897
2014-08-01,0.8558
2014-09-01,0.5313
2014-10-01,0.7013
2014-11-01,0.5026
2014-12-01,1.0328
2015-01-01,0.8085
2015-02-01,1.1488
2015-03-01,0.0028
2015-04-01,1.3327
2015-05-01,0.3424
2015-06-01,0.3594
2015-07-01,0.6815
2015-08-01,0.462
2015-09-01,0.9747
2015-10-01,0.4555
2015-11-01,0.1583
2015-12-01,0.2925
2016-01-01,1.5872
2016-02-01,0.8266
2016-03-01,0.0995
2016-04-01,0.805
2016-05-01,-0.1336
2016-06-01,1.8737
2016-07-01,-0.1147
2016-08-01,1.0873
2016-09-01,1.1262
2016-10-01,-0.07
2016-11-01,0.9802
2016-12-01,1.3983
2017-01-01,1.0805
2017-02-01,0.9566
2017-03-01,1.3695
2017-04-01,0.8965
2017-05-01,1.0019
2017-06-01,0.724
2017-07-01,1.1791
2017-08-01,0.2352
2017-09-01,1.2751
2017-10-01,0.4968
2017-11-01,0.1456
2017-12-01,1.0191
2018-01-01,1.8158
2018-02-01,1.377
