date,美债3m,美债2y,美债10y
2000-01-03,2.9571,4.7885,5.8596
2000-01-04,0.94,2.0024,5.0154
2000-01-05,3.6257,3.1742,1.5667
2000-01-06,3.9108,2.7682,4.912
2000-01-07,-0.4266,2.9244,4.1676
2000-01-10,0.5467,1.0432,3.8533
2000-01-11,2.6918,4.6929,3.966
2000-01-12,2.0256,2.0708,4.3068
2000-01-13,2.4748,4.2313,2.9622
2000-01-14,1.2204,2.2543,3.7265
2000-01-17,3.8191,2.2494,5.7759
2000-01-18,3.6667,4.4557,2.9441
2000-01-19,2.599,4.1927,2.4552
2000-01-20,4.1909,3.2504,3.9074
2000-01-21,3.2013,3.9134,2.3042
2000-01-24,1.2111,2.6537,1.4158
2000-01-25,3.0531,2.99,3.4833
2000-01-26,1.0617,2.2061,6.1729
2000-01-27,3.8177,4.0849,3.9421
2000-01-28,2.4251,2.1679,4.2679
2000-01-31,2.2227,4.7822,0.8048
2000-02-01,1.4786,2.621,4.6572
2000-02-02,4.3338,3.0246,4.14
2000-02-03,2.2682,3.9105,3.0026
2000-02-04,1.8575,3.0286,4.2701
2000-02-07,1.9718,2.6425,4.2552
2000-02-08,3.2985,2.964,2.4108
2000-02-09,3.0482,4.0726,4.4978
2000-02-10,3.1191,2.2046,5.7957
2000-02-11,3.1462,2.8485,3.6581
2000-02-14,5.7125,3.0123,2.6986
2000-02-15,1.8904,4.0375,3.7336
2000-02-16,1.7316,2.8802,5.2819
2000-02-17,1.2793,5.17,2.1605
2000-02-18,3.424,2.8122,4.8678
2000-02-21,4.1935,2.7148,2.983
2000-02-22,2.3291,2.7948,4.3631
2000-02-23,1.2398,1.42,3.1535
2000-02-24,1.2633,1.7559,3.1495
2000-02-25,3.4759,2.3632,6.2846
2000-02-28,3.6149,4.363,1.8864
2000-02-29,3.3147,2.9602,4.728
2000-03-01,1.5017,2.4184,6.597
2000-03-02,2.8482,4.4718,5.0283
2000-03-03,2.675,4.8614,2.0034
2000-03-06,2.828,4.5065,2.0776
2000-03-07,3.8071,1.9763,2.8726
2000-03-08,2.8354,2.4057,4.2369
2000-03-09,3.5184,5.1765,4.3389
2000-03-10,2.6014,3.2894,2.0925
2000-03-13,2.9337,2.6788,2.6909
2000-03-14,3.4469,3.862,2.7828
2000-03-15,0.3143,4.2088,3.7289
2000-03-16,2.0205,2.3143,6.977
2000-03-17,1.7944,3.2633,2.6002
2000-03-20,1.5417,4.1119,2.5346
2000-03-21,2.0873,1.6077,2.3003
2000-03-22,4.7424,3.0148,4.9533
2000-03-23,1.2013,1.6627,3.938
2000-03-24,3.9524,1.8197,2.6557
2000-03-27,-0.0243,2.3243,3.4558
2000-03-28,1.9977,3.5725,2.8127
2000-03-29,2.7441,2.6136,4.4438
2000-03-30,3.3793,2.2219,8.0266
2000-03-31,3.5668,3.0619,4.8263
2000-04-03,3.69,1.6236,3.8605
2000-04-04,1.9769,3.5146,3.0025
2000-04-05,1.8065,4.3577,1.9849
2000-04-06,3.787,2.905,5.1005
2000-04-07,2.213,2.7568,5.019
2000-04-10,0.5865,3.4481,3.3008
2000-04-11,0.8001,0.5658,5.82
2000-04-12,1.1208,3.6442,4.0317
2000-04-13,3.2457,6.7223,5.1621
2000-04-14,2.7136,2.8528,4.4443
2000-04-17,3.5357,2.857,3.7343
2000-04-18,1.8591,3.8923,2.5677
2000-04-19,2.7378,4.9744,3.7817
2000-04-20,3.4384,4.17,5.2631
2000-04-21,2.036,0.4133,3.2378
2000-04-24,3.1852,3.6761,4.6596
2000-04-25,1.5071,6.0863,2.3759
2000-04-26,1.9554,3.7469,5.1701
2000-04-27,1.9274,1.6145,4.4694
2000-04-28,0.7062,3.3382,2.1968
2000-05-01,3.2305,1.4632,3.664
2000-05-02,1.7959,4.4794,5.3972
2000-05-03,2.5187,1.8529,2.1115
2000-05-04,3.2211,3.0891,2.3936
2000-05-05,3.1698,1.9707,3.8958
2000-05-08,3.4981,2.3443,7.2
2000-05-09,2.3523,4.7834,2.9911
2000-05-10,1.8651,3.1241,4.7429
2000-05-11,2.3804,2.329,4.3902
2000-05-12,-0.031,1.6257,3.1157
2000-05-15,0.3293,0.754,4.2417
2000-05-16,0.516,1.4985,3.3282
2000-05-17,1.0041,3.1344,3.4633
2000-05-18,3.0997,4.1763,1.5081
2000-05-19,1.1418,2.3276,3.9633
2000-05-22,1.9328,4.8847,5.3486
2000-05-23,4.4488,2.139,4.0861
2000-05-24,1.9656,2.7144,5.6358
2000-05-25,3.6063,1.7045,4.8705
2000-05-26,1.0996,4.1889,3.9107
2000-05-29,2.1918,5.517,3.0581
2000-05-30,1.075,0.8858,3.2706
2000-05-31,1.9915,2.5846,1.7942
2000-06-01,3.7605,4.5177,3.5994
2000-06-02,-0.091,1.2637,4.219
2000-06-05,3.1516,3.68,6.5731
2000-06-06,2.8566,4.4658,4.7925
2000-06-07,1.6088,3.0939,2.7027
2000-06-08,0.3309,3.6603,1.8409
2000-06-09,2.6082,5.1131,3.6902
2000-06-12,1.7058,5.3381,5.2176
2000-06-13,2.849,2.9256,3.6691
2000-06-14,2.5328,2.3611,4.813
2000-06-15,4.9027,1.896,3.7283
2000-06-16,2.141,4.1724,5.0755
2000-06-19,0.9648,1.3539,1.6041
2000-06-20,2.7689,2.6969,6.4063
2000-06-21,2.83,3.1232,2.3313
2000-06-22,4.5388,2.3964,5.1906
2000-06-23,3.7527,3.3358,3.5917
2000-06-26,3.0353,6.0774,3.8263
2000-06-27,4.695,2.8541,3.6383
2000-06-28,0.7169,2.4775,4.3834
2000-06-29,1.5404,4.2184,4.6863
2000-06-30,1.1101,3.2875,5.5875
2000-07-03,1.9153,4.7272,6.1119
2000-07-04,0.435,3.1976,4.4977
2000-07-05,3.4527,2.7019,6.5705
2000-07-06,2.1667,0.8595,4.1395
2000-07-07,0.2938,1.0563,5.6162
2000-07-10,0.9766,0.7972,4.6431
2000-07-11,2.9703,3.4552,3.1762
2000-07-12,3.7572,1.3653,4.2719
2000-07-13,5.4951,4.5067,4.7548
2000-07-14,6.8708,3.0363,3.9517
2000-07-17,3.1216,2.707,4.6193
2000-07-18,1.0157,1.9874,5.298
2000-07-19,-0.6981,3.7467,3.9649
2000-07-20,2.9016,2.0346,-0.4158
2000-07-21,1.2806,1.8175,6.5174
2000-07-24,1.877,4.426,3.5536
2000-07-25,1.5819,3.4255,2.7651
2000-07-26,2.2888,2.7181,2.3138
2000-07-27,4.099,3.7697,3.4953
2000-07-28,2.7356,3.0107,3.1559
2000-07-31,2.262,3.4596,2.8945
2000-08-01,0.9465,2.0198,2.9768
2000-08-02,-0.012,5.4845,4.7946
2000-08-03,1.7705,2.3045,7.0455
2000-08-04,2.4193,4.8672,5.2309
2000-08-07,5.1519,2.7734,5.6839
2000-08-08,2.6954,3.9685,3.4339
2000-08-09,3.9741,3.8811,4.157
2000-08-10,1.7511,4.3762,4.6397
2000-08-11,0.7226,1.9913,3.0107
2000-08-14,1.0523,4.2908,3.3614
2000-08-15,1.4122,5.2157,5.2818
2000-08-16,5.6927,2.6896,5.6354
2000-08-17,1.2679,3.0416,4.1011
2000-08-18,3.7577,2.3719,2.2073
2000-08-21,1.1456,2.5843,3.5566
2000-08-22,3.8974,5.0537,1.838
2000-08-23,3.0774,1.7949,4.1128
2000-08-24,2.265,1.8695,4.3831
2000-08-25,2.4389,4.9331,3.5939
2000-08-28,1.5178,3.7495,4.3626
2000-08-29,3.1691,5.5444,4.6254
2000-08-30,1.8175,2.4595,4.3853
2000-08-31,0.6616,3.1515,2.1977
2000-09-01,0.5831,2.2072,3.6201
2000-09-04,2.7589,3.172,4.6148
2000-09-05,4.8686,0.8711,6.3681
2000-09-06,2.74,3.8219,3.5921
2000-09-07,2.322,3.3882,4.8263
2000-09-08,2.9287,2.9309,5.3172
2000-09-11,4.459,2.5316,3.7051
2000-09-12,2.8291,1.9263,5.7226
2000-09-13,1.8836,3.8733,5.8033
2000-09-14,4.1594,1.5947,6.0706
2000-09-15,3.1431,3.6143,4.6876
2000-09-18,4.8036,5.4893,7.5402
2000-09-19,2.7749,4.7826,3.0771
2000-09-20,0.6633,1.1938,7.1861
2000-09-21,0.4478,2.3559,5.1524
2000-09-22,4.9764,3.5057,6.0106
2000-09-25,5.0855,2.9157,3.5199
2000-09-26,2.2307,1.3207,5.2667
2000-09-27,1.9252,3.4624,6.1405
2000-09-28,4.6922,2.988,2.369
2000-09-29,0.8394,5.2972,3.755
2000-10-02,1.1579,2.6961,0.7881
2000-10-03,3.465,4.4016,3.7325
2000-10-04,1.9081,1.4795,2.776
2000-10-05,2.4923,1.7664,3.6733
2000-10-06,2.2548,3.866,8.3855
2000-10-09,3.0064,4.3005,6.5767
2000-10-10,4.6112,1.8511,1.8408
2000-10-11,2.6359,3.0289,4.8336
2000-10-12,3.4659,1.3421,5.1984
2000-10-13,-0.5753,2.7825,3.4932
2000-10-16,2.4269,4.0043,4.2675
2000-10-17,1.2352,2.478,4.414
2000-10-18,0.6718,2.7012,1.9801
2000-10-19,1.1828,1.6442,2.453
2000-10-20,1.9988,2.222,4.2584
2000-10-23,3.8739,5.1097,4.1491
2000-10-24,0.5104,3.0875,2.9372
2000-10-25,2.5459,1.7972,2.8084
2000-10-26,1.7737,2.6223,3.8653
2000-10-27,2.0085,1.0831,5.3292
2000-10-30,4.0041,1.783,3.8853
2000-10-31,3.3072,4.6324,6.4341
2000-11-01,4.5061,2.829,2.9563
2000-11-02,2.2682,5.2689,4.2897
2000-11-03,1.4561,2.8856,3.4686
2000-11-06,2.1642,2.9568,4.8819
2000-11-07,2.8637,3.7691,2.8276
2000-11-08,2.7649,-0.2071,6.8911
2000-11-09,0.8734,3.2459,1.4641
2000-11-10,2.6357,2.9412,6.5732
2000-11-13,2.8423,4.7832,4.135
2000-11-14,6.2762,4.1576,4.8286
2000-11-15,5.3153,1.6396,6.0018
2000-11-16,1.2201,4.4906,5.2865
2000-11-17,2.0689,2.6852,2.905
2000-11-20,0.3048,1.9147,4.9001
2000-11-21,1.6139,3.2365,6.8012
